groupname,paragraph,answersJSON
Polymer Composite Example,"Polymer matrix composites are traditionally valued for use in [[lightweight mechanical]] applications (aerospace, automotive, etc.) due to their attractive combination of mechanical properties ([[toughness]], [[strength/stiffness]]) and [[low density]]. For use in [[extreme environments]], these materials must possess [[slow degradation rates when exposed to O_{2}_, H_{2}_O, and salts]]. Moreover, maintaining structural integrity over a wide temperature range requires a low [[thermal expansion coefficient mismatch]] between matrix/reinforcement and a high [[glass transition temperature (T_{g}_)]]. Composites must also demonstrate excellent [[resistance to fracture]], determined in part by the mechanical properties (described above) and by the preferred [[failure mode]], which is a function of the [[reinforcement architecture]] and [[fiber/matrix interface]]. The [[polymer matrix]] [[is prepared]] by combining epoxy, crosslinker, and filler (as-needed), which controls the [[crosslinking density]] and [[heterogeneity]] within the matrix structure. [[The choice and preparation of reinforcement]] sets the [[morphology]] and [[microstructure of the reinforcement phase]]. The architecture of the reinforcement (and therefore, composite) is set during [[layup and curing]] and is defined by the [[dispersion]], [[aggregation]], and [[orientation of the reinforcement]]. [[Post-layup annealing and aging]] can improve the [[matrix/reinforcement interface]], and is critical to the mechanical properties, particularly the failure mode and toughness.","[{""groupname"":""polymercompositeexample"",""task"":""para"",""lightweightmechanical"":""performance"",""toughness"":""property"",""lowdensity"":""property"",""strengthstiffness"":""property"",""extremeenvironments"":""performance"",""slowdegradationrateswhenexposedtoo2h2oandsalts"":""property"",""thermalexpansioncoefficientmismatch"":""property"",""glasstransitiontemperaturetg"":""property"",""resistancetofracture"":""performance"",""failuremode"":""property"",""reinforcementarchitecture"":""structure"",""fibermatrixinterface"":""structure"",""polymermatrix"":""structure"",""isprepared"":""processing"",""crosslinkingdensity"":""structure"",""heterogeneity"":""structure"",""thechoiceandpreparationofreinforcement"":""processing"",""morphology"":""structure"",""microstructureofthereinforcementphase"":""structure"",""layupandcuring"":""processing"",""dispersion"":""structure"",""aggregation"":""structure"",""orientationofthereinforcement"":""structure"",""postlayupannealingandaging"":""processing"",""matrixreinforcementinterface"":""structure""},{""groupname"":""polymercompositeexample"",""task"":""SDC"",""isprepared"":[""heterogeneity"",""crosslinkingdensity"",""polymermatrix""],""thechoiceandpreparationofreinforcement"":[""microstructureofthereinforcementphase"",""morphology"",""fibermatrixinterface"",""reinforcementarchitecture"",""matrixreinforcementinterface""],""layupandcuring"":[""orientationofthereinforcement"",""dispersion"",""matrixreinforcementinterface"",""reinforcementarchitecture"",""crosslinkingdensity"",""aggregation"",""morphology"",""fibermatrixinterface""],""postlayupannealingandaging"":[""matrixreinforcementinterface"",""fibermatrixinterface"",""reinforcementarchitecture"",""microstructureofthereinforcementphase""],""reinforcementarchitecture"":["""",""failuremode"",""toughness"",""strengthstiffness""],""fibermatrixinterface"":[""toughness"",""failuremode"",""slowdegradationrateswhenexposedtoo2h2oandsalts""],""polymermatrix"":[""thermalexpansioncoefficientmismatch"",""lowdensity"",""glasstransitiontemperaturetg""],""crosslinkingdensity"":[""thermalexpansioncoefficientmismatch"",""strengthstiffness"",""toughness"",""glasstransitiontemperaturetg""],""heterogeneity"":[""thermalexpansioncoefficientmismatch"",""strengthstiffness"",""glasstransitiontemperaturetg""],""morphology"":[""slowdegradationrateswhenexposedtoo2h2oandsalts"",""toughness""],""microstructureofthereinforcementphase"":[""slowdegradationrateswhenexposedtoo2h2oandsalts"",""strengthstiffness""],""dispersion"":[""toughness"",""slowdegradationrateswhenexposedtoo2h2oandsalts""],""aggregation"":[""strengthstiffness"",""toughness""],""orientationofthereinforcement"":[""toughness"",""slowdegradationrateswhenexposedtoo2h2oandsalts"",""strengthstiffness""],""matrixreinforcementinterface"":[""strengthstiffness"",""failuremode"",""toughness"",""slowdegradationrateswhenexposedtoo2h2oandsalts""],""toughness"":[""lightweightmechanical"",""resistancetofracture""],""strengthstiffness"":[""lightweightmechanical"",""resistancetofracture""],""lowdensity"":[""lightweightmechanical""],""slowdegradationrateswhenexposedtoo2h2oandsalts"":[""extremeenvironments""],""thermalexpansioncoefficientmismatch"":[""extremeenvironments"",""resistancetofracture""],""glasstransitiontemperaturetg"":[""extremeenvironments""],""failuremode"":[""resistancetofracture""]}]"
Aluminum-CHiMaDExample,"An aluminum alloy is prepared by [[ingot metallurgy]]. The process begins with [[ingot refining]] then [[deoxidation]] and then [[ingot solidification]]. During ingot refining, deoxidation, and solidification, [[Fe and other impurities form coarse inclusion or “constituent” phases such as Al3Fe]]. In a final stage of solidification, [[finer scale “dispersoid” particles such as Al6Mn]] precipitate. These continue to form during [[hot working]] of the ingot. During subsequent [[solution treatment]] the dispersoids remain out of solution and pin grain boundaries. The alloy is [[quenched]] from the solution treatment and then [[aged]] to [[precipitate Cu G-P zones]]. The solution treatment, quenching, and aging processing stages effect the [[final matrix]] composition. Important properties governing alloy performance in service are the [[elastic modulus]], [[yield strength]], and [[fracture toughness]]. The modulus is determined by the final matrix composition, while the strength is determined by the G-P zone precipitation and [[grain size]]. Ductile fracture is controlled by primary void formation on the constituent particles as well as finer scale microvoid formation on the dispersoids.","[{""groupname"":""aluminumchimadexample"",""task"":""para"",""ingotmetallurgy"":""processing"",""ingotrefining"":""processing"",""deoxidation"":""processing"",""ingotsolidification"":""processing"",""feandotherimpuritiesformcoarseinclusionorconstituentphasessuchasal3fe"":""structure"",""finerscaledispersoidparticlessuchasal6mn"":""structure"",""solutiontreatment"":""processing"",""hotworking"":""processing"",""quenched"":""processing"",""aged"":""processing"",""precipitatecugpzones"":""structure"",""finalmatrix"":""structure"",""elasticmodulus"":""property"",""yieldstrength"":""property"",""fracturetoughness"":""property"",""grainsize"":""structure""},{""groupname"":""aluminumchimadexample"",""task"":""SDC""}]"
Thermoelectrics_test,"The efficiency of thermoelectric devices is related to the [[figure-of-merit zT]], which combines several interrelated and competing material properties including the [[lattice thermal conductivity (𝜅_𝑙𝑎𝑡)]], [[electronic thermal conductivity(𝜅_𝑒𝑙)]], electrical conductivity (𝜎, governed by the [[carrier mobility 𝜇]] and [[carrier concentration]]), and the [[Seebeck coefficient]] (S, defined by the carrier concentration). Engineering thermoelectric materials follows a three-pronged approach: 1) optimizing of the [[electronic and phononic bands of the matrix phase]] which determines the [[density of states]], 2) [[doping the matrix]] to achieve optimal carrier concentration and mobility, and 3) controlling the [[lattice thermal conductivity/resistance]] by modifying [[microstructure (grain boundaries, secondary phases)]]. When processing these materials, [[cast the alloy as an ingot]]. The ingot consists of the bulk composition, which largely defines the intrinsic band structures (from 1 above) and the presence of any 2nd phases, and the soluble dopant, which should efficiently tune the carrier concentration. Next, a [[consolidation/homogenization step (i.e. spark plasma sintering, hot pressing)]] and subsequent [[annealing treatment]] can largely determine the [[grain structure (including g.b. chemistry)]], and [[nanostructure of the secondary phases]]. Both structural features contribute to [[phonon scattering]] which reduces the lattice thermal conductivity.","[{""groupname"":""thermoelectricstest"",""task"":""para"",""figureofmeritzt"":""performance"",""latticethermalconductivity"":""property"",""electronicthermalconductivity"":""property"",""carriermobility"":""property"",""carrierconcentration"":""property"",""seebeckcoefficient"":""property"",""electronicandphononicbandsofthematrixphase"":""structure"",""densityofstates"":""structure"",""dopingthematrix"":""structure"",""latticethermalconductivityresistance"":""property"",""microstructuregrainboundariessecondaryphases"":""structure"",""castthealloyasaningot"":""processing"",""consolidationhomogenizationstepiesparkplasmasinteringhotpressing"":""processing"",""annealingtreatment"":""processing"",""grainstructureincludinggbchemistry"":""structure"",""nanostructureofthesecondaryphases"":""structure"",""phononscattering"":""structure""},{""groupname"":""Thermoelectrics_test"",""task"":""SDC"",""annealingtreatment"":[""electronicandphononicbandsofthematrixphase"",""microstructuregrainboundariessecondaryphases"",""nanostructureofthesecondaryphases"",""phononscattering""],""nanostructureofthesecondaryphases"":[""""],""consolidationhomogenizationstepiesparkplasmasinteringhotpressing"":[""microstructuregrainboundariessecondaryphases"",""grainstructureincludinggbchemistry"",""phononscattering""],""castthealloyasaningot"":[""dopingthematrix"",""densityofstates"",""electronicandphononicbandsofthematrixphase"",""phononscattering""],""electronicandphononicbandsofthematrixphase"":[""latticethermalconductivity""],""densityofstates"":[""carrierconcentration"",""seebeckcoefficient""],""dopingthematrix"":[""carriermobility"",""carrierconcentration"",""seebeckcoefficient""],""microstructuregrainboundariessecondaryphases"":[""latticethermalconductivity""],""grainstructureincludinggbchemistry"":[""latticethermalconductivity""],""phononscattering"":[""latticethermalconductivity""],""latticethermalconductivityresistance"":[""figureofmeritzt""],""seebeckcoefficient"":[""figureofmeritzt""],""carrierconcentration"":[""figureofmeritzt""],""carriermobility"":[""figureofmeritzt""],""electronicthermalconductivity"":[""figureofmeritzt""],""latticethermalconductivity"":[""figureofmeritzt""]},{""groupname"":""Thermoelectrics_test"",""task"":""para"",""figureofmeritzt"":""performance"",""latticethermalconductivity"":""property"",""electronicthermalconductivity"":""property"",""carriermobility"":""property"",""carrierconcentration"":""property"",""seebeckcoefficient"":""property"",""electronicandphononicbandsofthematrixphase"":""structure"",""densityofstates"":""structure"",""dopingthematrix"":""structure"",""latticethermalconductivityresistance"":""property"",""microstructuregrainboundariessecondaryphases"":""structure"",""castthealloyasaningot"":""processing"",""consolidationhomogenizationstepiesparkplasmasinteringhotpressing"":""processing"",""annealingtreatment"":""processing"",""grainstructureincludinggbchemistry"":""structure"",""nanostructureofthesecondaryphases"":""structure"",""phononscattering"":""structure""},{""groupname"":""thermoelectricstest"",""task"":""SDC"",""annealingtreatment"":[""electronicandphononicbandsofthematrixphase"",""microstructuregrainboundariessecondaryphases"",""nanostructureofthesecondaryphases"",""phononscattering""],""nanostructureofthesecondaryphases"":[""""],""consolidationhomogenizationstepiesparkplasmasinteringhotpressing"":[""microstructuregrainboundariessecondaryphases"",""grainstructureincludinggbchemistry"",""phononscattering""],""castthealloyasaningot"":[""dopingthematrix"",""densityofstates"",""electronicandphononicbandsofthematrixphase"",""phononscattering""],""electronicandphononicbandsofthematrixphase"":[""latticethermalconductivity""],""densityofstates"":[""carrierconcentration"",""seebeckcoefficient""],""dopingthematrix"":[""carriermobility"",""carrierconcentration"",""seebeckcoefficient""],""microstructuregrainboundariessecondaryphases"":[""latticethermalconductivity""],""grainstructureincludinggbchemistry"":[""latticethermalconductivity""],""phononscattering"":[""latticethermalconductivity""],""latticethermalconductivityresistance"":[""figureofmeritzt""],""seebeckcoefficient"":[""figureofmeritzt""],""carrierconcentration"":[""figureofmeritzt""],""carriermobility"":[""figureofmeritzt""],""electronicthermalconductivity"":[""figureofmeritzt""],""latticethermalconductivity"":[""figureofmeritzt""]}]"
Emery-Exam1-M54,"In 2007, the US Navy contracted QuestTek to develop a steel that would serve on aircraft-carrier capable aircraft. The customer required a steel that had 2x [[the service life]]  and provided [[improved reliability]] over the current material. In the design of this steel, a main challenge was to maintain or improve [[strength]] (resistance to permanent deformation) and [[toughness]] (ability to absorb energy prior to fracture)  while improving [[processability]], which is how effectively a material can be made into a component. This required intentional materials design of the [[distribution of crystallites]]  and the [[arrangement of the matrix and strengthening components]] (i.e. phases) within the steel. To achieve these goals, Engineers fine-tuned the development of the heat treatments; specifically the [[tempering]] and [[hot-working]] parameters.","[{""groupname"":""emeryexam1m54"",""task"":""para"",""theservicelife"":""performance"",""improvedreliability"":""performance"",""strength"":""property"",""toughness"":""property"",""distributionofcrystallites"":""structure"",""arrangementofthematrixandstrengtheningcomponents"":""structure"",""processability"":""performance"",""tempering"":""processing"",""hotworking"":""processing""},{""groupname"":""emeryexam1m54"",""task"":""SDC"",""hotworking"":[""arrangementofthematrixandstrengtheningcomponents"",""distributionofcrystallites""],""tempering"":[""arrangementofthematrixandstrengtheningcomponents""],""arrangementofthematrixandstrengtheningcomponents"":[""toughness"",""strength""],""distributionofcrystallites"":[""toughness""],""toughness"":[""improvedreliability"",""theservicelife""],""strength"":[""improvedreliability"",""theservicelife""]}]"
blank,,
Emery-Exam1-M54_1,"The efficiency of thermoelectric devices is related to the [[figure-of-merit zT]], which combines several interrelated and competing material properties including the [[lattice thermal conductivity (𝜅_𝑙𝑎𝑡)]], [[electronic thermal conductivity(𝜅_𝑒𝑙)]], electrical conductivity (𝜎, governed by the [[carrier mobility 𝜇]] and [[carrier concentration]]), and the [[Seebeck coefficient]] (S, defined by the carrier concentration). Engineering thermoelectric materials follows a three-pronged approach: 1) optimizing of the [[electronic and phononic bands of the matrix phase]] which determines the [[density of states]], 2) [[doping the matrix]] to achieve optimal carrier concentration and mobility, and 3) controlling the [[lattice thermal conductivity/resistance]] by modifying [[microstructure (grain boundaries, secondary phases)]]. When processing these materials, [[cast the alloy as an ingot]]. The ingot consists of the bulk composition, which largely defines the intrinsic band structures (from 1 above) and the presence of any 2nd phases, and the soluble dopant, which should efficiently tune the carrier concentration. Next, a [[consolidation/homogenization step (i.e. spark plasma sintering, hot pressing)]] and subsequent [[annealing treatment]] can largely determine the [[grain structure (including g.b. chemistry)]], and [[nanostructure of the secondary phases]]. Both structural features contribute to [[phonon scattering]] which reduces the lattice thermal conductivity. Hello.",
New Paragraph,This is a [[great]] paragraph [[with]] lots of [[keywords]] that I [[want]] you to [[identify]].,"[{""groupname"":""newparagraph"",""task"":""para"",""great"":""structure"",""with"":""property"",""keywords"":""processing"",""want"":""structure"",""identify"":""performance""},{""groupname"":""newparagraph"",""task"":""SDC"",""keywords"":[""want"",""great""],""great"":[""with""],""with"":[""identify""]}]"
Polymer Composite Example 1,"Polymer matrix composites are traditionally valued for use in [[lightweight mechanical]] applications (aerospace, automotive, etc.) due to their attractive combination of mechanical properties ([[toughness]], [[strength/stiffness]]) and [[low density]]. For use in [[extreme environments]], these materials must possess [[slow degradation rates when exposed to O_{2}_, H_{2}_O, and salts]]. Moreover, maintaining structural integrity over a wide temperature range requires a low [[thermal expansion coefficient mismatch]] between matrix/reinforcement and a high [[glass transition temperature (T_{g}_)]]. Composites must also demonstrate excellent [[resistance to fracture]], determined in part by the mechanical properties (described above) and by the preferred [[failure mode]], which is a function of the [[reinforcement architecture]]. The [[matrix]] [[is prepared]] by combining epoxy, crosslinker, and filler (as-needed), which controls the [[crosslinking density]] and [[heterogeneity]] within the matrix structure. [[The choice and preparation of reinforcement]] sets the [[morphology]] and [[microstructure of the reinforcement phase]]. The architecture of the reinforcement (and therefore, composite) is set during [[layup and curing]]. [[Post-layup annealing and aging]] can improve the [[matrix/reinforcement interface]], and is critical to the mechanical properties, particularly the failure mode and toughness.","[{""groupname"":""polymercompositeexample1"",""task"":""para"",""lightweightmechanical"":""processing"",""toughness"":""structure"",""strengthstiffness"":""property"",""lowdensity"":""performance"",""extremeenvironments"":""property"",""slowdegradationrateswhenexposedtoo2h2oandsalts"":""performance"",""thermalexpansioncoefficientmismatch"":""property"",""glasstransitiontemperaturetg"":""performance"",""resistancetofracture"":""property"",""failuremode"":""property"",""reinforcementarchitecture"":""performance"",""matrix"":""performance"",""isprepared"":""performance"",""crosslinkingdensity"":""performance"",""heterogeneity"":""structure"",""thechoiceandpreparationofreinforcement"":""property"",""morphology"":""property"",""microstructureofthereinforcementphase"":""property"",""layupandcuring"":""property"",""postlayupannealingandaging"":""property"",""matrixreinforcementinterface"":""property""},{""groupname"":""polymercompositeexample1"",""task"":""SDC"",""lightweightmechanical"":[""heterogeneity""],""toughness"":[""morphology""],""microstructureofthereinforcementphase"":[""""],""layupandcuring"":[""matrix""],""postlayupannealingandaging"":[""isprepared""],""thechoiceandpreparationofreinforcement"":[""reinforcementarchitecture""]}]"
CJE DSA Random BCPs,"Polymer matrix composites are traditionally valued for use in [[lightweight mechanical]] applications (aerospace, automotive, etc.) due to their attractive combination of mechanical properties ([[toughness]], [[strength/stiffness]]) and [[low density]]. For use in [[extreme environments]], these materials must possess [[slow degradation rates when exposed to O_{2}_, H_{2}_O, and salts]]. Moreover, maintaining structural integrity over a wide temperature range requires a low [[thermal expansion coefficient mismatch]] between matrix/reinforcement and a high [[glass transition temperature (T_{g}_)]]. Composites must also demonstrate excellent [[resistance to fracture]], determined in part by the mechanical properties (described above) and by the preferred [[failure mode]], which is a function of the [[reinforcement architecture]] and [[fiber/matrix interface]]. The [[polymer matrix]] [[is prepared]] by combining epoxy, crosslinker, and filler (as-needed), which controls the [[crosslinking density]] and [[heterogeneity]] within the matrix structure. [[The choice and preparation of reinforcement]] sets the [[morphology]] and [[microstructure of the reinforcement phase]]. The architecture of the reinforcement (and therefore, composite) is set during [[layup and curing]] and is defined by the [[dispersion]], [[aggregation]], and [[orientation of the reinforcement]]. [[Post-layup annealing and aging]] can improve the [[matrix/reinforcement interface]], and is critical to the mechanical properties, particularly the failure mode and toughness.",
whitney DSA,"There are several material design requirements for block copolymers for [[directed-self assembly applications]]. The polymers need to form [[lamellar morphologies]] in [[thin film environments]]. In order to achieve [[perpendicular assembly]], the two polymer blocks need [equal surface energies] at the free surface as well as at a neutral substrate to allow for [[thermal annealing]]. The block copolymer also needs [[intermediate segregation strength]] and [[low dispersities]] to assemble [[well-defined domains]] while maintaining [[low defectivity]]. In order to achieve [[small feature sizes]], the block copolymers need [[small pitches]] which require [[low molecular weights]] with [[high interaction parameters]]. In terms of [[successful pattern transfer]], the polymer blocks need [[high enough etch contrast]] and [[low interface widths]]. ",
Co_alloy_WhitneyT,"Co-based superalloys show promise as a replacement for conventional Ni-based superalloys in [[high-temperature]] applications, such as turbine blades in jet engines. This material system exhibits a [[two-phase g/g’ microstructure]] with [[cuboidal precipitates]] that provides good [[creep resistance]], [[higher melting point]], and better [[corrosion resistance]]. This microstructure is highly dependent on the [[composition]] of the alloy, which controls the [[elastic energy]] and [[chemical energy]] of the phases to influence the [[precipitate morphology]]. There has also been a growing interest to examine if these Co-based superalloys are [[additive manufacturable]], which is beneficial to high throughput research and manufacturing complex parts in industrial applications. ",
Metal AM - SLM,"Additive manufacturing offers exceptional control over macroscopic part geometry, yet has encountered limitations in the available [[material portfolio]], [[mechanical properties]] of final components, and the [[economics of processing]]. Selective laser melting (SLM) is a specific class of powder-bed fusion techniques, in which a laser fully melts layers of powder onto a substrate and builds a component layer-by-layer. The key processing parameter behind the structure of printed components is the [[energy density]] delivered to the substrate; this can be controlled by a variety of machine parameters, such as [[beam power]] and [[scan speed]], and must be high enough to ensure full melting of the powder and inter-layer bonding, but low enough to avoid [[warping]] and [[cracking]] of the component. In addition to these macroscopic defects, the solidification conditions influence the microstructure of the component. For example, the [[grain morphology]] (i.e., the columnar-to-equiaxed transition) and the [[grain size]] are heavily dependent on the solidification conditions, and significantly influence the mechanical properties of the finished components. 
",
